Name,Platform,Year_of_Release,Genre,Global_Sales,Critic_Score,User_Score,Rating,cluster
Far Cry 4,PS4,2014.0,Shooter,4.04,85.0,7.7,M,1
Left 4 Dead 2,X360,2009.0,Shooter,3.97,89.0,8.6,M,1
The Witcher 3: Wild Hunt,PS4,2015.0,Role-Playing,3.97,92.0,9.2,M,1
Assassin's Creed: Unity,PS4,2014.0,Action,3.96,70.0,4.9,M,3
Batman: Arkham Knight,PS4,2015.0,Action,3.95,87.0,7.6,M,3
The Legend of Zelda: Skyward Sword,Wii,2011.0,Action,3.95,93.0,8.0,E10+,3
Fallout 3,PS3,2008.0,Role-Playing,3.94,90.0,8.0,M,1
Professor Layton and the Diabolical Box,DS,2007.0,Puzzle,3.94,84.0,8.8,E10+,0
EA Sports Active,Wii,2009.0,Sports,3.9,81.0,8.7,E,1
Tony Hawk's Underground,PS2,2003.0,Sports,3.9,90.0,8.7,T,0
Monster Hunter 4 Ultimate,3DS,2014.0,Role-Playing,3.89,86.0,8.7,T,0
The Elder Scrolls V: Skyrim,PC,2011.0,Role-Playing,3.88,94.0,8.1,M,0
NBA 2K16,PS4,2015.0,Sports,3.88,87.0,6.7,E10+,1
Tekken 5,PS2,2005.0,Fighting,3.87,88.0,8.6,T,3
MotorStorm,PS3,2006.0,Racing,3.87,84.0,7.4,T,0
World Soccer Winning Eleven 8 International,PS2,2004.0,Sports,3.85,91.0,9.1,E,0
Sports Champions,PS3,2010.0,Sports,3.84,76.0,7.9,E10+,1
Call of Duty: Ghosts,PS4,2013.0,Shooter,3.83,78.0,3.7,M,1
Flash Focus: Vision Training in Minutes a Day,DS,2007.0,Misc,3.83,59.0,4.0,E,2
Tom Clancy's The Division,PS4,2016.0,Shooter,3.8,80.0,7.0,M,1
Big Brain Academy: Wii Degree,Wii,2007.0,Misc,3.79,68.0,6.9,E,1
LEGO Indiana Jones: The Original Adventures,X360,2008.0,Action,3.76,77.0,7.5,E10+,3
The Sims: Unleashed,PC,2002.0,Simulation,3.76,79.0,8.0,T,0
Harry Potter and the Sorcerer's Stone,PS,2001.0,Action,3.73,64.0,7.5,E,0
Super Paper Mario,Wii,2007.0,Platform,3.71,85.0,7.9,E,1
Spyro: Year of the Dragon,PS,2000.0,Platform,3.71,91.0,8.8,E,0
Assassin's Creed IV: Black Flag,PS3,2013.0,Action,3.71,88.0,8.1,M,3
FIFA Soccer 2005,PS2,2004.0,Sports,3.7,81.0,7.6,E,0
Tony Hawk's Pro Skater 4,PS2,2002.0,Sports,3.67,94.0,8.5,T,0
MySims,DS,2007.0,Simulation,3.66,67.0,7.3,E,0
Midnight Club 3: DUB Edition,PSP,2005.0,Racing,3.65,74.0,8.4,E10+,1
SOCOM: U.S. Navy SEALs,PS2,2002.0,Shooter,3.65,82.0,7.9,M,0
Jak and Daxter: The Precursor Legacy,PS2,2001.0,Platform,3.64,90.0,8.7,E,0
Pro Evolution Soccer 2008,PS2,2007.0,Sports,3.63,82.0,7.9,E,1
Resident Evil 4,PS2,2005.0,Action,3.62,96.0,8.9,M,3
Guitar Hero: World Tour,Wii,2008.0,Misc,3.62,86.0,7.6,T,3
FIFA Soccer 10,PS3,2009.0,Sports,3.62,91.0,7.6,E,1
Star Wars: Battlefront,PS2,2004.0,Shooter,3.61,82.0,8.7,T,0
The Simpsons: Road Rage,PS2,2001.0,Racing,3.61,64.0,7.7,T,0
Luigi's Mansion,GC,2001.0,Action,3.6,78.0,8.5,E,0
Battlefield 4,PS4,2013.0,Shooter,3.59,85.0,6.9,M,1
Star Wars: Battlefront II,PS2,2005.0,Shooter,3.59,84.0,9.0,T,0
Cooking Mama 2: Dinner With Friends,DS,2007.0,Simulation,3.58,70.0,8.0,E,0
